"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"32","RT @techie_too: @dcpoll @B52Malmet @GOP The NRA doesn't care. They didn't care after Sandy Hook. #NRAIsATerroristOrganization.",FALSE,0,NA,2017-11-05 20:50:05,FALSE,NA,"927276857254404097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArtistsPo",5,TRUE,FALSE,NA,NA
"33","RT @techie_too: @dcpoll @B52Malmet @GOP The NRA doesn't care. They didn't care after Sandy Hook. #NRAIsATerroristOrganization.",FALSE,0,NA,2017-11-05 20:49:41,FALSE,NA,"927276758575001601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maypo_79",5,TRUE,FALSE,NA,NA
"34","RT @techie_too: @dcpoll @B52Malmet @GOP The NRA doesn't care. They didn't care after Sandy Hook. #NRAIsATerroristOrganization.",FALSE,0,NA,2017-11-05 20:44:59,FALSE,NA,"927275574552354817",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","B52Malmet",5,TRUE,FALSE,NA,NA
"35","RT @DeeksFreak: Reminder: #NRAisaTERRORISTorganization",FALSE,0,NA,2017-11-05 20:42:51,FALSE,NA,"927275038050570240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bluesfan920",1,TRUE,FALSE,NA,NA
"36","Reminder: #NRAisaTERRORISTorganization",FALSE,1,NA,2017-11-05 20:42:15,FALSE,NA,"927274885147254784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeeksFreak",1,FALSE,FALSE,NA,NA
"37","@dcpoll @B52Malmet @GOP The NRA doesn't care. They didn't care after Sandy Hook. #NRAIsATerroristOrganization.",FALSE,18,"dcpoll",2017-11-05 20:40:01,FALSE,"927272484394717184","927274323051798533","22929686","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","techie_too",5,FALSE,FALSE,NA,NA
"38","I’ll say it again. Fuck. The. NRA. #FucktheNRA #nraisaterroristorganization",FALSE,0,NA,2017-11-05 20:37:04,FALSE,NA,"927273581108711426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flgatorATL",0,FALSE,FALSE,NA,NA
"39","@karatblood @NRA #NRAisaTerroristOrganization

Wonder how the NRA gun lobby death count compares to ISIS's death co… https://t.co/O870RPrPuX",FALSE,1,"karatblood",2017-11-05 20:31:38,TRUE,"927270630113898496","927272214084440064","1356002694","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesameTweet3",0,FALSE,FALSE,NA,NA
"40","RT @RedStateResistr: 27 people gunned down in a church? Just another day in the great US of A. 
Sigh. #NRAisaterroristorganization",FALSE,0,NA,2017-11-05 20:26:52,FALSE,NA,"927271014102392832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WitchCandee",1,TRUE,FALSE,NA,NA
"41","27 people gunned down in a church? Just another day in the great US of A. 
Sigh. #NRAisaterroristorganization",FALSE,3,NA,2017-11-05 20:23:02,FALSE,NA,"927270048917573632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedStateResistr",1,FALSE,FALSE,NA,NA
"42","@JesseRodriguez @ZemanLynnZ #NRAisaTerroristOrganization

@gop Is now a good time to talk about gun violence in Ame… https://t.co/YSkt4puT2A",FALSE,1,"JesseRodriguez",2017-11-05 20:22:23,TRUE,"927247565577441280","927269888070209538","18028893","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesameTweet3",0,FALSE,FALSE,NA,NA
"43","RT @SesameTweet3: @CNN @an_e_la Here are more victims for your blood lust @dloesch. Aren't you so proud of your job??? 

@gop Is now the ti…",FALSE,0,NA,2017-11-05 20:22:14,FALSE,NA,"927269848840916994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","59martyc",2,TRUE,FALSE,NA,NA
"44","RT @SesameTweet3: @CNN @an_e_la Here are more victims for your blood lust @dloesch. Aren't you so proud of your job??? 

@gop Is now the ti…",FALSE,0,NA,2017-11-05 20:10:07,FALSE,NA,"927266798210183168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MontanaSkullzx5",2,TRUE,FALSE,NA,NA
"45","@CNN @an_e_la Here are more victims for your blood lust @dloesch. Aren't you so proud of your job??? 

@gop Is now… https://t.co/AA76Adgmo6",FALSE,4,"CNN",2017-11-05 19:52:05,TRUE,"927251889216983040","927262259922993152","759251","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesameTweet3",2,FALSE,FALSE,NA,NA
"46","#Texas #GOP r #NRA puppets. Gov. Greg Abbott known as ""Come &amp; Take It Abbott."" Deplorable all. #GunsOverPeople… https://t.co/sF3WeO7rX2",FALSE,1,NA,2017-11-05 19:50:10,TRUE,NA,"927261778324656128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yombe",0,FALSE,FALSE,NA,NA
"47","Another member of #NRA's 'Merica's ""well regulated militia?""
#GunsEverywhere
#NRAIsATerroristOrganization https://t.co/HvMKXAzFaR",FALSE,0,NA,2017-11-05 19:45:03,FALSE,NA,"927260491378057216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yombe",0,FALSE,FALSE,NA,NA
"48","@ProfJulie616 @NBCNightlyNews #NRAIsATerroristOrganization",FALSE,2,"ProfJulie616",2017-11-05 19:34:51,FALSE,"927252915579789312","927257925747277824","880792907489333249","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jlheelan",0,FALSE,FALSE,NA,NA
