"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2830","RT @TxGal_InCali: Praying for Texas <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B2><U+0094>#texaschurchshooting #TexasStrong  #SutherlandSpringsShooting #prayforsutherlandsprings @GovAbbott…",FALSE,0,NA,2017-11-05 20:47:06,FALSE,NA,"927276106654339073",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lmitchell1012",49,TRUE,FALSE,NA,NA
"2831","RT @AlwaysActions: <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #PrayForTexas <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>

<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> Sutherland Springs
Baptist Church #Texas

#TexasStrong #Church https://t.co/0KQeqz7YQS",FALSE,0,NA,2017-11-05 20:47:02,FALSE,NA,"927276089541582849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","annshortis",267,TRUE,FALSE,NA,NA
"2832","Awful news coming from Texas.  Thoughts &amp; deepest sympathy to all affected #TexasStrong",FALSE,0,NA,2017-11-05 20:47:00,FALSE,NA,"927276081656336387",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","truelifesimon",0,FALSE,FALSE,NA,NA
"2833","Heaven forbid we have stronger gun laws! #TexasStrong https://t.co/nW09cw8bCS",FALSE,1,NA,2017-11-05 20:46:44,FALSE,NA,"927276013687660545",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","1_SweetnSassy",0,FALSE,FALSE,NA,NA
"2834","RT @Mitch__Roy: An attack on one's faith is an attack on us all. #TexasStrong #TexasShooting <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,0,NA,2017-11-05 20:46:39,FALSE,NA,"927275993357791232",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","D214dew",36,TRUE,FALSE,NA,NA
"2835","RT @Joy_Villa: Heartbreaking news<ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>Please remember we love you #Texas we are #TexasStrong At least 27 dead in Texas church shooting  https:/…",FALSE,0,NA,2017-11-05 20:46:38,FALSE,NA,"927275989016625152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DamianEudy",130,TRUE,FALSE,NA,NA
"2836","The problem IS GUNS.  No other nation has to keep going through this.  What is WRONG with us. #texaschurchshooting… https://t.co/dklXF4fR9e",FALSE,31,NA,2017-11-05 20:46:32,TRUE,NA,"927275964656246784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","feathersnpaws",16,FALSE,FALSE,NA,NA
"2837","RT @Joy_Villa: Heartbreaking news<ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>Please remember we love you #Texas we are #TexasStrong At least 27 dead in Texas church shooting  https:/…",FALSE,0,NA,2017-11-05 20:46:26,FALSE,NA,"927275941105160195",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indrek1899",130,TRUE,FALSE,NA,NA
"2838","RT @GraceMacjones: I can't begin to even imagine how the victims family are hurting right now. I'm sick of these mass shootings #praying#Te…",FALSE,0,NA,2017-11-05 20:46:23,FALSE,NA,"927275925007421440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlwayzSmiling20",1,TRUE,FALSE,NA,NA
"2839","RT @Joy_Villa: Heartbreaking news<ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>Please remember we love you #Texas we are #TexasStrong At least 27 dead in Texas church shooting  https:/…",FALSE,0,NA,2017-11-05 20:46:22,FALSE,NA,"927275924449644545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stevedempsey65",130,TRUE,FALSE,NA,NA
"2840","RT @MarcoGutierrez: #prayfortexas #texaschurchshooting #TexasStrong Our values and way of life will prevail – terrorism will not. – John Li…",FALSE,0,NA,2017-11-05 20:46:18,FALSE,NA,"927275907110326277",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kath3etto",3,TRUE,FALSE,NA,NA
