"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","This is the lying @NRA hack you are, @realDonaldTrump, the weak, spineless leader. 
#NRAisATerroristOrganization… https://t.co/diMGv2U3G5",FALSE,0,NA,2017-11-06 23:58:55,TRUE,NA,"927686765468516352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ScottDavidson54",0,FALSE,FALSE,NA,NA
"2","RT @StopTrump2020: Terrorism in America: It’s not a brown people issue. #texaschurchshooting #sensiblegunlaws #HomeGrownTerrorist #NRAisATe…",FALSE,0,NA,2017-11-06 23:58:33,FALSE,NA,"927686675836350465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Helen191960",823,TRUE,FALSE,NA,NA
"3","RT @CCFoote22: @Rosie @Destroy_ALEC #NRAisATerroristOrganization",FALSE,0,NA,2017-11-06 23:56:51,FALSE,NA,"927686246687703047",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Destroy_ALEC",2,TRUE,FALSE,NA,NA
"4","@Rosie @Destroy_ALEC #NRAisATerroristOrganization",FALSE,0,"Rosie",2017-11-06 23:56:34,FALSE,"927610621524414464","927686174868672512","25203361","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CCFoote22",2,FALSE,FALSE,NA,NA
"5","RT @StopTrump2020: Terrorism in America: It’s not a brown people issue. #texaschurchshooting #sensiblegunlaws #HomeGrownTerrorist #NRAisATe…",FALSE,0,NA,2017-11-06 23:56:03,FALSE,NA,"927686044438482945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","machinademina",823,TRUE,FALSE,NA,NA
"6","RT @lfkraus: @Ocean_State211 @HouseGOP @SenateGOP @77CaptainMarvel @AgentHillResist @Wolv_2017 @blackwidows2017 @WarMachine_2017 @1spiderma…",FALSE,0,NA,2017-11-06 23:55:04,FALSE,NA,"927685799742771200",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RulingVenus",19,TRUE,FALSE,NA,NA
"7","RT @lfkraus: @Ocean_State211 @HouseGOP @SenateGOP @77CaptainMarvel @AgentHillResist @Wolv_2017 @blackwidows2017 @WarMachine_2017 @1spiderma…",FALSE,0,NA,2017-11-06 23:54:44,FALSE,NA,"927685716028612614",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Starbuck603",19,TRUE,FALSE,NA,NA
"8","RT @lfkraus: @Ocean_State211 @HouseGOP @SenateGOP @77CaptainMarvel @AgentHillResist @Wolv_2017 @blackwidows2017 @WarMachine_2017 @1spiderma…",FALSE,0,NA,2017-11-06 23:53:31,FALSE,NA,"927685409403891712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1WarMachine",19,TRUE,FALSE,NA,NA
"9","#PrayersArentEnough #GunLawsWork #GunBuybackProgram #GunControlNow #EndGunViolence #DisbandTheNRA… https://t.co/1FwHfwCkiv",FALSE,0,NA,2017-11-06 23:53:23,TRUE,NA,"927685376558485504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrandonMHeks",0,FALSE,FALSE,NA,NA
"10","RT @Astorix23: After every massacre I wonder. #TheResistance #NRAisATerroristOrganization #TexasChurchMassacre #SutherlandSpringsShooting #…",FALSE,0,NA,2017-11-06 23:53:20,FALSE,NA,"927685363967160320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","j9brenna",52,TRUE,FALSE,NA,NA
"11","@Ocean_State211 @HouseGOP @SenateGOP @77CaptainMarvel @AgentHillResist @Wolv_2017 @blackwidows2017 @WarMachine_2017… https://t.co/hLEfiSNi45",FALSE,21,"Ocean_State211",2017-11-06 23:51:02,TRUE,"927682908772499458","927684783341211649","58792543","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lfkraus",19,FALSE,FALSE,NA,NA
"12","RT @NiravaSara: #BanAssaultRifles
#NRAisATerroristOrganization https://t.co/2zdtgYT4bB",FALSE,0,NA,2017-11-06 23:50:56,FALSE,NA,"927684759928623104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Al250167",7,TRUE,FALSE,NA,NA
"13","RT @NiravaSara: #BanAssaultRifles
#NRAisATerroristOrganization https://t.co/2zdtgYT4bB",FALSE,0,NA,2017-11-06 23:50:01,FALSE,NA,"927684526947610624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarlsonThomas",7,TRUE,FALSE,NA,NA
"14","RT @nstretcher: @SpeakerRyan No, they need a hell of a lot more than that. We all do. #NRAisATerroristOrganization",FALSE,0,NA,2017-11-06 23:46:59,FALSE,NA,"927683765035343872",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","terrileedee",5,TRUE,FALSE,NA,NA
"15","White man shooter = mentally ill.  Brown man shooter = terrorist. #trumpisaracist #NRAisATerroristOrganization",FALSE,0,NA,2017-11-06 23:46:20,FALSE,NA,"927683600346214400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crazyriley",0,FALSE,FALSE,NA,NA
"16","RT @StopTrump2020: Terrorism in America: It’s not a brown people issue. #texaschurchshooting #sensiblegunlaws #HomeGrownTerrorist #NRAisATe…",FALSE,0,NA,2017-11-06 23:43:46,FALSE,NA,"927682955530637312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sandy00008539",823,TRUE,FALSE,NA,NA
"17","#NRA #NRATerrorism #NRAisATerroristOrganization #NRATerrorists #NRABloodMoney #NRAkills #TexasChurchMassacre… https://t.co/LzHKUnloMT",FALSE,0,NA,2017-11-06 23:43:45,TRUE,NA,"927682950451384320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","America1776Z",0,FALSE,FALSE,NA,NA
"18","RT @Catbriar: Without guns involved, mentally ill violence is much easier to survive. https://t.co/bnXp3ggChE #GunControlNow #NRAIsATerrori…",FALSE,0,NA,2017-11-06 23:41:09,FALSE,NA,"927682295934439427",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KashitaBraswell",1,TRUE,FALSE,NA,NA
"19","RT @StopTrump2020: Terrorism in America: It’s not a brown people issue. #texaschurchshooting #sensiblegunlaws #HomeGrownTerrorist #NRAisATe…",FALSE,0,NA,2017-11-06 23:39:08,FALSE,NA,"927681786938839045",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Booker25",823,TRUE,FALSE,NA,NA
