"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Proverbs31org: We must grab each other’s hands and stand. Together. Proclaiming truth. Evil does not win. #PrayForTexas #SutherlandSpri…",FALSE,0,NA,2017-11-06 23:59:31,FALSE,NA,"927686917768077312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marycarr0107",140,TRUE,FALSE,NA,NA
"2","RT @TBlackRBLX: I wouldn't say #PrayForTexas... more like #PrayForTheWorld.

<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2764>",FALSE,0,NA,2017-11-06 23:59:23,FALSE,NA,"927686884972810240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheSPWRBLX",1,TRUE,FALSE,NA,NA
"3","My heart is broken for Texas. To those affected, we stand by you in faith and prayer. Hold onto your hope; hold onto Him. <U+2764><U+FE0F><U+2764><U+FE0F>#PrayForTexas",FALSE,1,NA,2017-11-06 23:58:58,FALSE,NA,"927686779242762240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abigailbergel",0,FALSE,FALSE,NA,NA
"4","While you argue about gun control, there are 14 families whose lives will never be the same. #RIPLittleAngels… https://t.co/si9TsDc3El",FALSE,1,NA,2017-11-06 23:58:40,TRUE,NA,"927686705267822602",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","hearher_ROAR",1,FALSE,FALSE,NA,NA
"5","RT @kimmy5778: #StephenWilleford is a true American hero this is the face we should be sharing not the gunmans #PrayForTexas #PrayForAmeric…",FALSE,0,NA,2017-11-06 23:58:31,FALSE,NA,"927686668227891202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GusRapini",17,TRUE,FALSE,NA,NA
"6","RT @Robin_McGraw: We are heartbroken to hear what happened in Sutherland Springs. Sending prayers and love to this town and community. <U+2764>  #…",FALSE,0,NA,2017-11-06 23:58:13,FALSE,NA,"927686592034045953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMincham",5,TRUE,FALSE,NA,NA
"7","RT @DanielGoddard: I am lost for words... I don't even know what to think or say anymore. It's just too devastating... #PrayForTexas https:…",FALSE,0,NA,2017-11-06 23:57:48,FALSE,NA,"927686486027390982",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DownerLori",224,TRUE,FALSE,NA,NA
"8","RT @jacobatague: It's a cold world. #Prayfortexas",FALSE,0,NA,2017-11-06 23:57:48,FALSE,NA,"927686485796642816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","superflyZachary",3,TRUE,FALSE,NA,NA
"9","RT @RWitherspoon: I am absolutely heartbroken over the shooting today in #SutherlandSprings Texas. <ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #PrayForTexas #EnoughIsEnough #StopGun…",FALSE,0,NA,2017-11-06 23:57:40,FALSE,NA,"927686451503833088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KDDiemert",495,TRUE,FALSE,NA,NA
"10","RT @madzshep: Why do we only Rest In Peace? Why don't we live in peace too? #PrayForTexas",FALSE,0,NA,2017-11-06 23:57:24,FALSE,NA,"927686384361574401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shelbyyy1427",46,TRUE,FALSE,NA,NA
